Description,Expression,M,N,H
Non-working adult interaction with income more than $100k,"@(df.ptype == NONWORK) & (df.income_segment >= 4)",,,-0.7188
Driving-age child who is in school interaction with less than $20k,"@(df.ptype == DRIVING) & (df.income_segment == 1)",,,1.307
Driving-age child who is in school interaction income between $50k and $100k,"@(df.ptype == DRIVING) & (df.income_segment >= 3) & (df.income_segment <= 4)",,,-0.5031
Driving-age child who is in school interaction with income more than $100k,"@(df.ptype == DRIVING) & (df.income_segment == 1)",,,-2.046
Pre-driving-age child who is too young for school interaction with income between $50k and $100k,"@(df.ptype == SCHOOL) & (df.income_segment >= 3) & (df.income_segment <= 4)",,,-0.5708
Pre-driving-age child who is too young for school interaction with income more than $100k,"@(df.ptype == SCHOOL) & (df.income_segment == 1)",,,-0.6186
Full-time worker intraction with peak accessibility to all employment,"@(df.ptype == FULL) * df.auPkTotal",0.1212,,
Part-time worker interaction with peak accessibility to all employment,"@(df.ptype == PART) * df.auPkTotal",0.2004,,
Non-working adult interaction with peak accessibility to all employment,"@(df.ptype == NONWORK) * df.auPkTotal",0.2314,,
Retired interaction with peak accessibility to all employment,"@(df.ptype == RETIRED) * df.auPkTotal",0.2792,,
Non-working adult interaction with off-peak accessibility to retail,"@(df.ptype == NONWORK) * df.auOpRetail",,0.07207,
Retired interaction with off-peak accessibility to retail,"@(df.ptype == RETIRED) * df.auOpRetail",,0.07207,
University student interaction with off-peak accessibility to retail,"@(df.ptype == UNIVERSITY) * df.auOpRetail",,0.07207,
Driving-age child who is in school interaction with off-peak accessibility to retail,"@(df.ptype == DRIVING) * df.auOpRetail",,0.08233,
Pre-driving-age child who is in school interaction with off-peak accessibility to retail,"@(df.ptype == SCHOOL) * df.auOpRetail",,0.08233,
Pre-driving-age child who is too young for school interaction with off-peak accessibility to retail,"@(df.ptype == PRESCHOOL) * df.auOpRetail",,0.08233,
# University Student CDAP calibration,,,,
working university student in non-family housing,"@(df.ptype == UNIVERSITY) & (df.is_worker) & (df.HHT >= 4)",0.0959892286938419,-0.5653157666171066,
working university student in family housing,"@(df.ptype == UNIVERSITY) & (df.is_worker) & (df.HHT < 4) & (df.TYPE != 3)",0.16088350372344598,-0.9394837517087071,
working university student in GQ housing,"@(df.ptype == UNIVERSITY) & (df.is_worker) & (df.HHT < 4) & (df.TYPE == 3)",0.273268828618079,-1.2556696279944286,
non-working university student in non-family housing,"@(df.ptype == UNIVERSITY) & (~df.is_worker) & (df.HHT >= 4)",0.16573332752946932,-1.2223963004171414,
non-working university student in family housing,"@(df.ptype == UNIVERSITY) & (~df.is_worker) & (df.HHT < 4) & (df.TYPE != 3)",0.058646779881048675,-0.22458840819910103,
non-working university student in GQ housing,"@(df.ptype == UNIVERSITY) & (~df.is_worker) & (df.HHT < 4) & (df.TYPE == 3)",0.2231239703501062,-1.1839396062896261,
# commented out because not used in mtctm1,,,,
# Full-time worker interaction with usual work location is home,"@df.ptype == FULL * usualWorkLocationIsHome",-1.758,,0.1813
# Part-time worker interaction with usual work location is home,"@df.ptype == PART * usualWorkLocationIsHome,-1.758,,0.1813
# Full-time worker interaction with no usual work location,"@df.ptype == FULL * noUsualWorkLocation",-0.5935,,
# Part-time worker interaction with no usual work location,"@df.ptype == PART * noUsualWorkLocation,-0.5935,,
# Driving-age child who is in school interaction with no usual school location,"@(df.ptype == DRIVING) * noUsualWorkLocation,-0.866,,
# Pre-driving age child who is in school interaction with no usual school location,"@(ptype == SCHOOL) * noUsualWorkLocation,-0.866,,
#tm1 scenario test,,,,
#Simulate telecommuting by reducing mandatory patterns,(ptype == 1) * (income_in_thousands >= 50),-0.142930042,,
Telecommutes 1 day per week,telecommute_frequency=='1_day_week',,0.526,0.496
Telecommutes 2-3 days per week,telecommute_frequency=='2_3_days_week',,1.387,1.584
Telecommutes 4 days per week,telecommute_frequency=='4_days_week',,1.848,1.711
#Turning Mandatory pattern off for FT and PT who work from home (sandag),,,,
"Full time worker, works from home","@(df.ptype == FULL) & (df.work_from_home)",-999,,
"Part time worker, works from home","@(df.ptype == PART) & (df.work_from_home)",-999,,
#Metc specific - commented out when changing ptype codes
#PTYPE 3 with no work or school,(ptype <= 3) & (~is_worker) & (~is_student),-999,,
Child with no school,"@((df.ptype == DRIVING) | (df.ptype == SCHOOL) | (df.ptype == PRESCHOOL)) & (~df.is_student)",-999.0,,
